,data_date,unix_timestamp,pol_in,pol_out,sl_in,sl_out,pol_diff,sl_diff,all_diff
0,2022-02-24,1645660800,30096,9069,4844,921,21027,3923,24950
1,2022-02-25,1645747200,46347,9965,6941,870,36382,6071,42453
2,2022-02-26,1645833600,76575,10043,11995,1394,66532,10601,77133
3,2022-02-27,1645920000,98115,9015,15881,1011,89100,14870,103970
4,2022-02-28,1646006400,99245,7447,13035,794,91798,12241,104039
5,2022-03-01,1646092800,97499,9093,12620,864,88406,11756,100162
6,2022-03-02,1646179200,97379,8605,12466,815,88774,11651,100425
7,2022-03-03,1646265600,98517,8297,11242,825,90220,10417,100637
8,2022-03-04,1646352000,105317,7335,10784,906,97982,9878,107860
9,2022-03-05,1646438400,127579,8961,12650,1134,118618,11516,130134
10,2022-03-06,1646524800,140843,8386,13496,1039,132457,12457,144914
11,2022-03-07,1646611200,140558,6951,13345,917,133607,12428,146035
12,2022-03-08,1646697600,126322,7436,12442,976,118886,11466,130352
13,2022-03-09,1646784000,116399,8098,12359,974,108301,11385,119686
14,2022-03-10,1646870400,85825,9241,11316,1069,76584,10247,86831
15,2022-03-11,1646956800,76065,8584,10664,1259,67481,9405,76886
16,2022-03-12,1647043200,78108,9151,10363,1302,68957,9061,78018
17,2022-03-13,1647129600,80123,8279,9957,1265,71844,8692,80536
18,2022-03-14,1647216000,70935,7194,8495,1066,63741,7429,71170
19,2022-03-15,1647302400,65787,8758,7804,1163,57029,6641,63670
20,2022-03-16,1647388800,59218,8943,8099,1026,50275,7073,57348
21,2022-03-17,1647475200,51462,9103,7243,1282,42359,5961,48320
22,2022-03-18,1647561600,41825,9499,5175,1306,32326,3869,36195
23,2022-03-19,1647648000,38992,11492,5464,1445,27500,4019,31519
24,2022-03-20,1647734400,32915,9711,4409,1329,23204,3080,26284
25,2022-03-21,1647820800,29501,8110,3305,1142,21391,2163,23554
26,2022-03-22,1647907200,30328,8909,3370,1347,21419,2023,23442
27,2022-03-23,1647993600,29598,9472,3324,1223,20126,2101,22227
28,2022-03-24,1648080000,31706,10124,3614,1416,21582,2198,23780
29,2022-03-25,1648166400,29700,11162,3673,1444,18538,2229,20767
30,2022-03-26,1648252800,30045,14312,4215,1621,15733,2594,18327
31,2022-03-27,1648339200,26062,11713,3337,1655,14349,1682,16031
32,2022-03-28,1648425600,20512,10683,2741,1435,9829,1306,11135
33,2022-03-29,1648512000,21793,11442,2860,1470,10351,1390,11741
34,2022-03-30,1648598400,24777,12574,2817,1501,12203,1316,13519
35,2022-03-31,1648684800,22440,12966,2740,1561,9474,1179,10653
36,2022-04-01,1648771200,20497,13497,2747,1673,7000,1074,8074
37,2022-04-02,1648857600,22916,17772,3199,2027,5144,1172,6316
38,2022-04-03,1648944000,21614,13898,3121,1844,7716,1277,8993
39,2022-04-04,1649030400,17987,12259,1991,1465,5728,526,6254
40,2022-04-05,1649116800,20470,12968,2274,1288,7502,986,8488
41,2022-04-06,1649203200,23542,14115,2566,1468,9427,1098,10525
42,2022-04-07,1649289600,22933,12369,2789,1525,10564,1264,11828
43,2022-04-08,1649376000,26711,14509,3118,1908,12202,1210,13412
44,2022-04-09,1649462400,28212,20363,3595,2202,7849,1393,9242
45,2022-04-10,1649548800,27615,17593,3296,2243,10022,1053,11075
46,2022-04-11,1649635200,23449,14906,2465,1685,8543,780,9323
47,2022-04-12,1649721600,23262,15780,2774,1890,7482,884,8366
48,2022-04-13,1649808000,24046,18307,3224,2293,5739,931,6670
49,2022-04-14,1649894400,26025,20542,3353,2650,5483,703,6186
50,2022-04-15,1649980800,23621,23163,3110,3141,458,-31,427
51,2022-04-16,1650067200,18717,25514,2536,3103,-6797,-567,-7364
52,2022-04-17,1650153600,17011,18002,2068,2045,-991,23,-968
53,2022-04-18,1650240000,19581,13262,2369,1595,6319,774,7093
